id,event_id,restaurant,burger,description,neighborhood,address,latitude,longitude,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,tags,restaurant_photo,maps_url,everout_url
burger-26001,burger-week-2026,10 Barrel Brewing,The Patty Meltdella Effect,"Gochujang burger sauce, 7 oz chuck, brisket, short rib burger patty, American & Swiss cheese, onion jam on Texas Toast!",Pearl District - Northwest Portland,1411 NW Flanders,45.525900,-122.685495,12-10 pm,12-10 pm,12-10 pm,12-10 pm,11 am-11 pm,11 am-11 pm,12-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMwOTk5NzE5OTE5NC0xMC1CYXJyZWwuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=9919821746200555827&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/the-patty-meltdella-effect/e248983/
burger-26002,burger-week-2026,2NW5,Nacho Burger,"Fresh beef patty on a toasted Martin's bun topped with pickled jalapenos, grilled queso Oaxaqueno, avocado, and crunchy corn chips, plus a grilled jalapeno on top and queso for dipping on the side.",Old Town-Chinatown - Northwest Portland,Two NW Fifth Ave,45.523200,-122.675293,,6 pm-12 am,6 pm-12 am,6 pm-12 am,6 pm-12 am,6 pm-12 am,,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMDU3NTc5ODkyMi0yTlc1LVNwZWFrZWFzeS5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiA5NjAsICJoZWlnaHQiOiA2MDAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiBmYWxzZX0sICJyb3RhdGUiOiBudWxsfX0=,https://maps.google.com/?cid=10270163852988955925&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/nacho-burger/e248989/
burger-26003,burger-week-2026,Abigail Hall,The Ab-Brie Burger,"Ground beef patty, bacon chipotle onion jam, relish, Brie cheese, and arugula on a brioche bun.",Southwest Portland,813 SW Alder,45.520575,-122.680496,5-11 pm,5-11 pm,5-11 pm,5-11 pm,5-11 pm,5-11 pm,5-11 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMwOTYxODczMTc0OC1BYmlnYWlsLUhhbGwuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=10322291428544114964&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/the-ab-brie-burger/e248981/
burger-26004,burger-week-2026,Aji Tram Restaurant and Bar,Basil Buckaroo Burger,"Beef patty, thai chili basil aioli, togarashi Walla Walla onion rings, pork belly, American cheese, arugula, brioche bun.",Lake Oswego,4477 Lakeview Blvd,45.404637,-122.723178,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,12-10 pm,12-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMDE4NDg0NzE3LUFqaS1UcmFtLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=4239994008083990931&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/basil-buckaroo-burger/e248987/
burger-26005,burger-week-2026,Amaros Table Downtown,The Pambazo Burger,"Country Natural ground chuck, Swiss cheese, chorizo-potato hash, shredded lettuce, caramelized onion, avocado, salsa verde, and crema on a rustic bun dipped in guajillo sauce, griddled until crisp, then spread with refried pinto beans.",Vancouver,1220 Main St. Ste. 100,45.630751,-122.671800,11 am-10 pm,11 am-10 pm,11 am-10 pm,11 am-10 pm,11 am-10 pm,11 am-10 pm,11 am-10 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTY3NDA3NjcyNi1BbWFyb3MtVGFibGVfRG93bnRvd24uanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=1093580761494169128&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/the-pambazo-burger/e248995/
burger-26006,burger-week-2026,Arch Bridge Taphouse,Nacho Man Smashy Savage,"House-ground chuck smash patty, mini tortilla chips, chorizo, queso blanco, avocado sauce, pico de gallo, and chipotle aioli (all made in-house) on an An Xuyen butter roll.",Oregon City,205 7th,45.357680,-122.608126,,2-10 pm,2-10 pm,2-10 pm,2-10 pm,2-10 pm,2-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTgyNDY1MTQzMi1BcmNoLUJyaWRnZS5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiA5NjAsICJoZWlnaHQiOiA2MDAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiBmYWxzZX0sICJyb3RhdGUiOiBudWxsfX0=,https://maps.google.com/?cid=1642892600753112337&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/nacho-man-smashy-savage/e248996/
burger-26007,burger-week-2026,ASL Cafe (Woodstock Cafe),Jelling Meatloaf Melt,"Built on thick slices of our cafe-baked meatloaf, layered with nutty, melty Gruyere, roasted summer vegetables, tangy pickled onions, and our house sauce, all pressed between buttery toasted focaccia. The roasted veggies? Let's just call them your doctor's alibi. We're just saying your body deserves a little support while the meatloaf steals the show.",Woodstock - Southeast Portland,4103 SE Woodstock Blvd,45.479523,-122.620317,12-8:30 pm,12-8:30 pm,12-8:30 pm,12-8:30 pm,12-8:30 pm,12-8:30 pm,12-8:30 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NTM2MjMyODYxMjE0NS1BU0wtQ2FmZS5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiA5NjAsICJoZWlnaHQiOiA2MDAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiBmYWxzZX0sICJyb3RhdGUiOiBudWxsfX0=,https://maps.google.com/?cid=2641126604155035287&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/jelling-meatloaf-melt/e250204/
burger-26008,burger-week-2026,Ate-Oh-Ate (Burnside),Paniolo Burger,"Two house-ground beef patties, pineapple cowboy candy, cheddar cheese, crispy buttermilk onions on a soft bun.",Buckman - Southeast Portland,2454 E Burnside,45.523177,-122.640528,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTA5ODE2NzE1Ny1BdGUtT2gtQXRlLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=13741881743034236413&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/paniolo-burger/e248992/
burger-26009,burger-week-2026,Ate-Oh-Ate (Beaverton),Paniolo Burger,"Two house-ground beef patties, pineapple cowboy candy, cheddar cheese, crispy buttermilk onions on a soft bun.",Beaverton,4570 SW Watson Avenue,45.486647,-122.805893,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTA5ODE2NzE1Ny1BdGUtT2gtQXRlLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=13308758723787177011&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/paniolo-burger/e248990/
burger-26010,burger-week-2026,Ate-Oh-Ate (Woodstock),Paniolo Burger,"Two house-ground beef patties, pineapple cowboy candy, cheddar cheese, crispy buttermilk onions on a soft bun.",Southeast Portland,"Two house-ground beef patties, pineapple cowboy candy, cheddar cheese, crispy buttermilk onions on a soft bun.",45.479018,-122.608526,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTA5ODE2NzE1Ny1BdGUtT2gtQXRlLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=2203172727468198672&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/paniolo-burger/e248991/
